model,bin_lo,bin_hi,count,mean_pred,frac_pos
logistic_regression,0.0,0.1,749,0.0738220225112083,0.1054739652870494
logistic_regression,0.1,0.2,1652,0.14753862533149129,0.14709443099273609
logistic_regression,0.2,0.30000000000000004,946,0.24378537283278548,0.21035940803382663
logistic_regression,0.30000000000000004,0.4,477,0.3457111984287898,0.27672955974842767
logistic_regression,0.4,0.5,458,0.4488394423229013,0.5131004366812227
logistic_regression,0.5,0.6000000000000001,446,0.556006478955147,0.6367713004484304
logistic_regression,0.6000000000000001,0.7000000000000001,876,0.6532819955004,0.6472602739726028
logistic_regression,0.7000000000000001,0.8,926,0.7515584268921766,0.7235421166306696
logistic_regression,0.8,0.9,920,0.8518113067609672,0.8521739130434782
logistic_regression,0.9,1.0,1243,0.947449265539531,0.9533386967015286
random_forest,0.0,0.1,28,0.09171823433864404,0.0
random_forest,0.1,0.2,2262,0.16037125702367883,0.11361626878868258
random_forest,0.2,0.30000000000000004,973,0.2332023387741409,0.19527235354573483
random_forest,0.30000000000000004,0.4,304,0.34737690089210116,0.3519736842105263
random_forest,0.4,0.5,458,0.4597132473582842,0.4497816593886463
random_forest,0.5,0.6000000000000001,1162,0.5577168806314775,0.5963855421686747
random_forest,0.6000000000000001,0.7000000000000001,1191,0.6354913021752341,0.6171284634760705
random_forest,0.7000000000000001,0.8,579,0.7302046464715161,0.8480138169257341
random_forest,0.8,0.9,286,0.8549728577181013,0.9195804195804196
random_forest,0.9,1.0,1450,0.9628076996788419,0.9903448275862069
xgboost,0.0,0.1,2524,0.028619034075478313,0.09429477020602219
xgboost,0.1,0.2,577,0.1427228365551867,0.2218370883882149
xgboost,0.2,0.30000000000000004,377,0.24711316642141468,0.2838196286472148
xgboost,0.30000000000000004,0.4,360,0.35213911376065676,0.4444444444444444
xgboost,0.4,0.5,545,0.4534991500027683,0.5027522935779817
xgboost,0.5,0.6000000000000001,561,0.5488186312869271,0.5098039215686274
xgboost,0.6000000000000001,0.7000000000000001,482,0.646581979337075,0.5871369294605809
xgboost,0.7000000000000001,0.8,409,0.7496105518492626,0.5574572127139364
xgboost,0.8,0.9,358,0.8519411488285278,0.7346368715083799
xgboost,0.9,1.0,2500,0.9805302507638931,0.9644
catboost,0.0,0.1,1974,0.04459406284044911,0.06585612968591692
catboost,0.1,0.2,927,0.14086426263837915,0.15318230852211434
catboost,0.2,0.30000000000000004,424,0.24688512838975335,0.24764150943396226
catboost,0.30000000000000004,0.4,414,0.3534513660521165,0.4033816425120773
catboost,0.4,0.5,496,0.4540360152062676,0.48588709677419356
catboost,0.5,0.6000000000000001,749,0.5499065965515783,0.5340453938584779
catboost,0.6000000000000001,0.7000000000000001,693,0.645433717244,0.5800865800865801
catboost,0.7000000000000001,0.8,399,0.7455486336612454,0.6741854636591479
catboost,0.8,0.9,367,0.8578563151374224,0.8501362397820164
catboost,0.9,1.0,2250,0.9755432096538057,0.9822222222222222
