row_index,fold,y_true,proba,pred
0,2,0,0.2543654441833496,0
1,1,1,0.031719014048576355,0
2,3,0,0.00046469387598335743,0
3,3,0,0.002475807908922434,0
4,2,1,0.015899399295449257,0
5,2,1,0.054559849202632904,0
6,4,1,0.9528757333755493,1
7,1,1,0.4329167604446411,0
8,3,1,0.10770474374294281,0
9,2,1,0.9962128400802612,1
10,2,1,0.9455102682113647,1
11,2,1,0.9997177720069885,1
12,1,1,0.05540326237678528,0
13,3,0,0.567369818687439,1
14,0,1,0.4847846031188965,0
15,1,0,0.5019066333770752,1
16,0,0,0.11069311946630478,0
17,3,0,0.0805998221039772,0
18,4,1,0.9920207858085632,1
19,2,1,0.5575346946716309,1
20,2,0,0.09137798845767975,0
21,4,0,0.9010446071624756,1
22,4,0,0.9888689517974854,1
23,4,0,0.9847787022590637,1
24,4,1,0.6964974403381348,1
25,4,0,0.9856583476066589,1
26,4,0,0.9007683396339417,1
27,0,0,0.015705138444900513,0
28,3,1,0.9987757802009583,1
29,2,0,0.05275210738182068,0
30,3,0,0.8065612316131592,1
31,0,0,0.0463208332657814,0
32,4,0,0.16082948446273804,0
33,2,1,0.03884827345609665,0
34,2,1,0.9974996447563171,1
35,2,1,0.02412136271595955,0
36,2,1,0.9986569881439209,1
37,3,0,0.6684649586677551,1
38,1,0,0.14020955562591553,0
39,2,0,0.000513469974976033,0
40,3,0,0.8601683974266052,1
41,2,1,0.7514280676841736,1
42,2,0,0.0010711218928918242,0
43,0,0,0.49280619621276855,0
44,0,1,0.6677644848823547,1
45,0,1,0.5510522723197937,1
46,0,0,0.027856454253196716,0
47,0,1,0.996667206287384,1
48,0,0,0.034807223826646805,0
49,1,0,0.02061241865158081,0
50,4,0,0.00018322326650377363,0
51,3,1,0.8538239002227783,1
52,4,1,0.8945156931877136,1
53,4,1,0.962028980255127,1
54,4,1,0.4150853753089905,0
55,0,0,0.7435406446456909,1
56,3,0,0.022790050134062767,0
57,0,0,0.2923085689544678,0
58,4,1,0.9950326681137085,1
59,0,1,0.6679468154907227,1
60,1,0,0.14250516891479492,0
61,4,1,0.6348158717155457,1
62,4,1,0.34860801696777344,0
63,4,0,0.23236291110515594,0
64,2,0,0.02546081133186817,0
65,1,1,0.1496978998184204,0
66,1,0,0.3818393051624298,0
67,1,0,0.9924507737159729,1
68,4,0,0.029083499684929848,0
69,0,0,0.1814526915550232,0
70,1,1,0.9997945427894592,1
71,2,1,0.7497960925102234,1
72,2,1,0.9583685994148254,1
73,4,0,0.01853339746594429,0
74,2,0,0.5635741353034973,1
75,0,0,0.005360066425055265,0
76,0,1,0.997077465057373,1
77,0,1,0.99623703956604,1
78,1,1,0.02095543034374714,0
79,0,1,0.9993461966514587,1
80,3,0,0.2914891242980957,0
81,3,1,0.5215291976928711,1
82,2,1,0.6953759789466858,1
83,2,1,0.47394314408302307,0
84,2,0,0.3444749712944031,0
85,1,0,0.7032046318054199,1
86,1,1,0.489573210477829,0
87,1,1,0.489573210477829,0
88,3,0,0.910365879535675,1
89,3,0,0.16304002702236176,0
90,3,1,0.9365130662918091,1
91,4,0,0.2591002285480499,0
92,1,1,0.5479474067687988,1
93,4,1,0.9062243700027466,1
94,3,0,0.04164450988173485,0
95,3,1,0.2819294035434723,0
96,0,1,0.6384196281433105,1
97,0,0,0.5632843375205994,1
98,2,0,0.225633904337883,0
99,0,0,0.012356195598840714,0
100,3,0,0.49914056062698364,0
101,3,0,0.057569656521081924,0
102,3,1,0.4836328625679016,0
103,4,0,0.00046620858483947814,0
104,3,0,0.012421585619449615,0
105,3,1,0.32423049211502075,0
106,3,1,0.9748968482017517,1
107,0,1,0.9763005971908569,1
108,1,1,0.998880922794342,1
109,3,1,0.9475703239440918,1
110,2,0,0.24932502210140228,0
111,2,1,0.8026014566421509,1
112,0,1,0.5129831433296204,1
113,3,0,0.0004813940613530576,0
114,3,1,0.9811888337135315,1
115,1,1,0.9822300672531128,1
116,0,0,0.005080485250800848,0
117,2,0,0.8007689714431763,1
118,0,1,0.9965358972549438,1
119,0,0,0.03679320961236954,0
120,1,0,0.01868773065507412,0
121,1,0,0.013060608878731728,0
122,1,1,0.4166470170021057,0
123,4,1,0.9950326681137085,1
