mode,n_features,n_unique_cabin_levels,group_aware_mean,group_aware_ci95_half,stratified_mean,stratified_ci95_half,gap_strat_minus_group
cabin_region,18,8,0.8101586319111,0.011417337586487693,0.8100762908196251,0.009239327705284456,-8.234109147498003e-05
raw_cabin,18,9826,0.80595044200409,0.016245450804115696,0.8072004796217023,0.011002179178393063,0.0012500376176122208
