,logistic_regression,random_forest,xgboost,catboost
logistic_regression,1.0,1.0,0.08053622051505732,7.179217281002306e-09
random_forest,1.0,1.0,0.07332694359794703,2.0916244962094573e-09
xgboost,0.08053622051505732,0.07332694359794703,1.0,1.904302685686216e-05
catboost,7.179217281002306e-09,2.0916244962094573e-09,1.904302685686216e-05,1.0
