model,group_aware_mean_acc,group_aware_ci95_half,group_aware_oof_acc,fit_total_seconds,infer_total_seconds,peak_rss_delta_mib_max,stratified_mean_acc,id_minus_ood_gap
logistic_regression,0.791899087810686,0.006103040131345696,0.7919015299666399,0.03347987499728333,0.0011737910099327564,0.03125,0.7909813517947103,-0.0009177360159756676
random_forest,0.791786527967416,0.0017727827800243573,0.7917864948809387,5.54358058400976,0.4687604999780888,6.765625,0.7914407907405484,-0.0003457372268675929
xgboost,0.7991454273558837,0.011804513796847407,0.7991487403658116,2.899992334001581,0.0672962909884518,3.9375,0.8028286298687591,0.003683202512875461
catboost,0.8121459724037507,0.009743413744479784,0.8121477050500403,19.903208751013153,0.013538583007175475,59.578125,0.8127220847662538,0.0005761123625031006
