drop_label,drop_features,n_features,group_aware_mean_acc,group_aware_ci95_half,delta_vs_baseline,fold_accs
none,[],18,0.8121459724037507,0.009743413744479784,0.0,"[0.8189655172413793, 0.8245109321058688, 0.8051724137931034, 0.796776050662061, 0.8153049482163406]"
drop_topology_cluster,"[""Topology_Cluster""]",17,0.8122596573405889,0.011586931093210857,0.00011368493683816538,"[0.8201149425287356, 0.8250863060989643, 0.8074712643678161, 0.791594703511802, 0.8170310701956272]"
drop_cryosleep,"[""CryoSleep""]",17,0.8119135737616027,0.009193584241791994,-0.00023239864214807948,"[0.8218390804597702, 0.8164556962025317, 0.8109195402298851, 0.7944732297063903, 0.8158803222094362]"
drop_spending,"[""__SPENDING__""]",8,0.7408247148310428,0.011050416252519334,-0.07132125757270791,"[0.7333333333333333, 0.759493670886076, 0.7471264367816092, 0.7276914219919401, 0.7364787111622555]"
drop_side,"[""Side""]",17,0.8122596573405889,0.011586931093210857,0.00011368493683816538,"[0.8201149425287356, 0.8250863060989643, 0.8074712643678161, 0.791594703511802, 0.8170310701956272]"
drop_deck,"[""Deck""]",17,0.8093811989942828,0.013938267456927764,-0.002764773409467902,"[0.8270114942528736, 0.8204833141542003, 0.8045977011494253, 0.7858376511226253, 0.80897583429229]"
