model,oof_acc,oof_brier,threshold
logistic_regression,0.7919015299666399,0.15057422217393399,0.5
random_forest,0.7917864948809387,0.14311853219902793,0.5
xgboost,0.7991487403658116,0.1337090696499527,0.5
catboost,0.8121477050500403,0.12355813190907383,0.4725
ensemble_mean_thr0.5,0.8076613367076958,0.12755954824798837,0.5
ensemble_mean_thr_best,0.8096169331646152,0.12755954824798837,0.4850000000000001
