threshold,oof_acc
0.4,0.8055907051650754
0.405,0.8060508455078799
0.41000000000000003,0.8058207753364777
0.41500000000000004,0.8062809156792822
0.42000000000000004,0.806971126193489
0.42500000000000004,0.8072011963648913
0.43000000000000005,0.8074312665362936
0.43500000000000005,0.8076613367076958
0.44000000000000006,0.8080064419647993
0.44500000000000006,0.8089267226504083
0.45000000000000007,0.8086966524790061
0.45500000000000007,0.8092718279075118
0.4600000000000001,0.8091567928218106
0.4650000000000001,0.8088116875647072
0.4700000000000001,0.8088116875647072
0.4750000000000001,0.8090417577361095
0.4800000000000001,0.8093868629932129
0.4850000000000001,0.8096169331646152
0.4900000000000001,0.8086966524790061
0.4950000000000001,0.8088116875647072
0.5000000000000001,0.8076613367076958
0.5050000000000001,0.8078914068790981
0.5100000000000001,0.8075463016219947
0.5150000000000001,0.8075463016219947
0.5200000000000001,0.8062809156792822
0.5250000000000001,0.8059358104221788
0.5300000000000001,0.8054756700793743
0.5350000000000001,0.805360634993673
0.5400000000000001,0.8065109858506845
0.5450000000000002,0.8060508455078799
0.5500000000000002,0.8067410560220868
