eps,min_samples,n_clusters_train,n_noise_train,group_aware_mean_acc,group_aware_ci95_half,fold_accs
0.45,2,16,0,0.8127200901756213,0.007963329985834185,"[0.8178160919540229, 0.8227848101265823, 0.8126436781609195, 0.798503166378814, 0.8118527042577676]"
0.55,2,16,0,0.8127200901756213,0.007963329985834185,"[0.8178160919540229, 0.8227848101265823, 0.8126436781609195, 0.798503166378814, 0.8118527042577676]"
0.6,2,2,0,0.8121459724037507,0.009743413744479784,"[0.8189655172413793, 0.8245109321058688, 0.8051724137931034, 0.796776050662061, 0.8153049482163406]"
0.666,2,2,0,0.8121459724037507,0.009743413744479784,"[0.8189655172413793, 0.8245109321058688, 0.8051724137931034, 0.796776050662061, 0.8153049482163406]"
0.75,2,2,0,0.8121459724037507,0.009743413744479784,"[0.8189655172413793, 0.8245109321058688, 0.8051724137931034, 0.796776050662061, 0.8153049482163406]"
0.85,2,2,0,0.8121459724037507,0.009743413744479784,"[0.8189655172413793, 0.8245109321058688, 0.8051724137931034, 0.796776050662061, 0.8153049482163406]"
1.0,2,2,0,0.8121459724037507,0.009743413744479784,"[0.8189655172413793, 0.8245109321058688, 0.8051724137931034, 0.796776050662061, 0.8153049482163406]"
