threshold,oof_acc
0.4,0.8103071436788221
0.4005,0.8104221787645232
0.401,0.8104221787645232
0.4015,0.8103071436788221
0.402,0.8105372138502244
0.4025,0.8105372138502244
0.403,0.8106522489359255
0.4035,0.8105372138502244
0.404,0.8106522489359255
0.4045,0.8106522489359255
0.405,0.8106522489359255
0.4055,0.8106522489359255
0.406,0.8105372138502244
0.40650000000000003,0.8106522489359255
0.40700000000000003,0.8106522489359255
0.40750000000000003,0.8106522489359255
0.40800000000000003,0.8109973541930289
0.40850000000000003,0.8108823191073278
0.40900000000000003,0.8108823191073278
0.40950000000000003,0.8107672840216266
0.41000000000000003,0.8108823191073278
0.41050000000000003,0.8105372138502244
0.41100000000000003,0.8106522489359255
0.41150000000000003,0.8108823191073278
0.41200000000000003,0.8109973541930289
0.41250000000000003,0.81111238927873
0.41300000000000003,0.81111238927873
0.41350000000000003,0.8109973541930289
0.41400000000000003,0.8109973541930289
0.41450000000000004,0.8109973541930289
0.41500000000000004,0.8109973541930289
0.41550000000000004,0.8109973541930289
0.41600000000000004,0.8107672840216266
0.41650000000000004,0.8106522489359255
0.41700000000000004,0.8105372138502244
0.41750000000000004,0.8106522489359255
0.41800000000000004,0.8107672840216266
0.41850000000000004,0.8106522489359255
0.41900000000000004,0.8106522489359255
0.41950000000000004,0.81111238927873
0.42000000000000004,0.8109973541930289
0.42050000000000004,0.8107672840216266
0.42100000000000004,0.8108823191073278
0.42150000000000004,0.8108823191073278
0.42200000000000004,0.8106522489359255
0.42250000000000004,0.8108823191073278
0.42300000000000004,0.8108823191073278
0.42350000000000004,0.8109973541930289
0.42400000000000004,0.81111238927873
0.42450000000000004,0.8115725296215346
0.42500000000000004,0.8114574945358334
0.42550000000000004,0.8114574945358334
0.42600000000000005,0.811917634878638
0.42650000000000005,0.8118025997929369
0.42700000000000005,0.8115725296215346
0.42750000000000005,0.8115725296215346
0.42800000000000005,0.8114574945358334
0.42850000000000005,0.8112274243644312
0.42900000000000005,0.81111238927873
0.42950000000000005,0.81111238927873
0.43000000000000005,0.8113424594501323
0.43050000000000005,0.81111238927873
0.43100000000000005,0.8112274243644312
0.43150000000000005,0.8112274243644312
0.43200000000000005,0.8108823191073278
0.43250000000000005,0.8106522489359255
0.43300000000000005,0.8106522489359255
0.43350000000000005,0.8105372138502244
0.43400000000000005,0.8104221787645232
0.43450000000000005,0.8104221787645232
0.43500000000000005,0.8103071436788221
0.43550000000000005,0.8104221787645232
0.43600000000000005,0.8101921085931209
0.43650000000000005,0.8105372138502244
0.43700000000000006,0.8104221787645232
0.43750000000000006,0.8103071436788221
0.43800000000000006,0.8104221787645232
0.43850000000000006,0.8103071436788221
0.43900000000000006,0.8104221787645232
0.43950000000000006,0.8105372138502244
0.44000000000000006,0.8107672840216266
0.44050000000000006,0.8108823191073278
0.44100000000000006,0.8109973541930289
0.44150000000000006,0.8108823191073278
0.44200000000000006,0.8106522489359255
0.44250000000000006,0.8106522489359255
0.44300000000000006,0.8106522489359255
0.44350000000000006,0.8105372138502244
0.44400000000000006,0.8105372138502244
0.44450000000000006,0.8104221787645232
0.44500000000000006,0.8104221787645232
0.44550000000000006,0.8103071436788221
0.44600000000000006,0.8101921085931209
0.44650000000000006,0.8100770735074198
0.44700000000000006,0.8105372138502244
0.44750000000000006,0.8104221787645232
0.44800000000000006,0.8101921085931209
0.44850000000000007,0.8104221787645232
0.44900000000000007,0.8105372138502244
0.44950000000000007,0.8101921085931209
0.45000000000000007,0.8100770735074198
0.45050000000000007,0.8101921085931209
0.45100000000000007,0.8101921085931209
0.45150000000000007,0.8104221787645232
0.45200000000000007,0.8104221787645232
0.45250000000000007,0.8105372138502244
0.45300000000000007,0.8106522489359255
0.45350000000000007,0.8106522489359255
0.45400000000000007,0.8106522489359255
0.45450000000000007,0.8107672840216266
0.45500000000000007,0.8106522489359255
0.45550000000000007,0.8106522489359255
0.45600000000000007,0.8105372138502244
0.4565000000000001,0.8105372138502244
0.4570000000000001,0.8106522489359255
0.4575000000000001,0.8109973541930289
0.4580000000000001,0.81111238927873
0.4585000000000001,0.81111238927873
0.4590000000000001,0.81111238927873
0.4595000000000001,0.8112274243644312
0.4600000000000001,0.8109973541930289
0.4605000000000001,0.8112274243644312
0.4610000000000001,0.8114574945358334
0.4615000000000001,0.8112274243644312
0.4620000000000001,0.8118025997929369
0.4625000000000001,0.8116875647072357
0.4630000000000001,0.8118025997929369
0.4635000000000001,0.8120326699643391
0.4640000000000001,0.8115725296215346
0.4645000000000001,0.8115725296215346
0.4650000000000001,0.8114574945358334
0.4655000000000001,0.8115725296215346
0.4660000000000001,0.8114574945358334
0.4665000000000001,0.8113424594501323
0.4670000000000001,0.8118025997929369
0.4675000000000001,0.8118025997929369
0.4680000000000001,0.8115725296215346
0.4685000000000001,0.8116875647072357
0.4690000000000001,0.8114574945358334
0.4695000000000001,0.8113424594501323
0.4700000000000001,0.8114574945358334
0.4705000000000001,0.8112274243644312
0.4710000000000001,0.8108823191073278
0.4715000000000001,0.81111238927873
0.4720000000000001,0.81111238927873
0.4725000000000001,0.8112274243644312
0.4730000000000001,0.8108823191073278
0.4735000000000001,0.8108823191073278
0.4740000000000001,0.8108823191073278
0.4745000000000001,0.8104221787645232
0.4750000000000001,0.8103071436788221
0.4755000000000001,0.8105372138502244
0.4760000000000001,0.8106522489359255
0.4765000000000001,0.8107672840216266
0.4770000000000001,0.8107672840216266
0.4775000000000001,0.8107672840216266
0.4780000000000001,0.8099620384217187
0.4785000000000001,0.8098470033360174
0.4790000000000001,0.8091567928218106
0.4795000000000001,0.8097319682503163
0.4800000000000001,0.8097319682503163
0.4805000000000001,0.8098470033360174
0.4810000000000001,0.8098470033360174
0.4815000000000001,0.8098470033360174
0.4820000000000001,0.8096169331646152
0.4825000000000001,0.8097319682503163
0.4830000000000001,0.809501898078914
0.4835000000000001,0.8091567928218106
0.4840000000000001,0.8090417577361095
0.4845000000000001,0.8091567928218106
0.4850000000000001,0.8091567928218106
0.4855000000000001,0.8089267226504083
0.4860000000000001,0.8088116875647072
0.4865000000000001,0.8088116875647072
0.4870000000000001,0.8086966524790061
0.4875000000000001,0.8090417577361095
0.4880000000000001,0.8089267226504083
0.4885000000000001,0.8090417577361095
0.4890000000000001,0.8086966524790061
0.4895000000000001,0.8088116875647072
0.4900000000000001,0.8088116875647072
0.4905000000000001,0.8091567928218106
0.4910000000000001,0.8093868629932129
0.4915000000000001,0.8093868629932129
0.4920000000000001,0.8098470033360174
0.4925000000000001,0.8099620384217187
0.4930000000000001,0.8104221787645232
0.4935000000000001,0.8106522489359255
